o1,o2,o3,o4,o5,o6,o7,o8,o9,o10,o11,o12,o13,o14,o15,o16,o17,o18,o19,o20,o21,o22,o23,o24,o25,o26,o27,o28,o29,o30,o31,o32,o33,o34,o35,o36,o37,o38,o39,o40,o41,o42,o43,o44,o45,o46,o47,o48,o49,o50,o51,o52,o53,o54,o55,o56,o57,o58,o59,o60,o61,o62,o63,o64,o65,o66
0.003248159,0,0.000523315,0,0.000144363,0.034367331,0.065630865,0.002039122,0.000333839,0.000108272,0.007353472,0,0.000784972,0.000324816,0.051059261,0.000893244,8.12E-05,2.71E-05,9.02E-06,1.80E-05,0.26916414,0,0,2.71E-05,0,0,0.005458712,0,0,0,0,0,8.12E-05,0,0,6.32E-05,0.001777465,0.000342861,0,1.80E-05,9.02E-05,1.80E-05,0,0.042343367,0.493007435,0,1.80E-05,0,0,0,0.000893244,0.00027068,0,0,0,0.017928035,0.000378952,0,0.000604519,0.000568428,0,0,0,0,0,0
0.005100824,0,8.29E-05,0,0.000311026,0.036929138,0.089751698,0.00264372,0.000103675,5.18E-05,0.015084755,0,0.001150796,0.00016588,0.0853766,0.00100565,0.000217718,8.29E-05,0,1.04E-05,0.163641076,0,0,0.000145145,0,0,0.011559795,0,0,0,0,0,8.29E-05,0,0,2.07E-05,0.003410917,0.000456171,0,7.26E-05,2.07E-05,0,0,0.06112695,0.479342699,0,0,0,0,0,0.000767197,0.000414701,0,4.15E-05,0,0.040122337,0.000155513,0,7.26E-05,0.000476906,0,0,0,0,0,0
0.003982806,0,0.000145712,0,6.48E-05,0.023362557,0.11359092,0.00239616,3.24E-05,9.71E-05,0.01690264,0,0.000396662,0.00029952,0.126510754,0.001432839,0.000121427,2.43E-05,0.000275235,8.10E-05,0.027329172,0,0,6.48E-05,8.10E-06,0,0.004031377,0,0,0,0,0,0.000113332,0,0,0,0.00667039,0.000202378,0,1.62E-05,8.90E-05,0,0,0.047275583,0.593397609,0,8.10E-06,8.10E-06,1.62E-05,0,0.000129522,0.0003319,0,3.24E-05,0,0.028786297,0.000129522,0,0.000234759,0.001392363,1.62E-05,0,0,0,0,0
0.006441432,0,1.94E-05,0,0.000627328,0.011725217,0.135748655,0.002936155,8.41E-05,2.59E-05,0.015683206,0,0.000194019,0.000148748,0.165459437,0.000232823,5.82E-05,6.47E-06,6.47E-06,3.23E-05,0.0512857,0,0,2.59E-05,0,0,0.001189983,0,0,0,0,0,4.53E-05,0,0,0,0.000400973,0.000181084,0,2.59E-05,9.70E-05,0,0,0.012093853,0.581093491,0,6.47E-06,0,0,0,0.000161683,0.000465646,0,7.76E-05,0,0.012740584,0.00016815,0,0.000103477,0.00040744,0,0,0,0,0,0
0.00391198,0,0.000359108,0,0.000496638,0.044116748,0.114723411,0.002406785,8.40E-05,0.000191015,0.01457824,0,0.000412592,0.000122249,0.075374389,0.000970355,0.00012989,7.64E-06,2.29E-05,1.53E-05,0.236361553,0,0,7.64E-06,0,0,0.00494346,0,0,0,0,0,3.06E-05,0,0,7.64E-05,0.002567237,8.40E-05,0,3.06E-05,3.06E-05,0,0,0.068925733,0.35430165,0,0,0,0,0,0.000236858,0.000397311,0,5.35E-05,0,0.072440403,0.000213936,0,6.88E-05,0.0012989,7.64E-06,0,0,0,0,0
0.012910469,0,0,0,0.0205133,0.213858484,0.114210871,0.015411482,8.11E-05,1.87E-05,0.028203449,0,0.004765023,0.001103939,0.004478124,0.006573736,0.001453207,6.24E-05,0.000374216,0.000174634,0.012006112,0,0,0,0,6.24E-06,0.004340911,0,0,0,0,0,2.49E-05,0,0,0,1.25E-05,0.000573799,0,3.74E-05,1.25E-05,0,0,0.127551689,0.289281816,0,0,0,0,0,0.005644432,0.000804565,0,0,0,0.074319394,0.06115321,0,3.74E-05,0,0,0,0,0,0,0
0.005851983,0,0,0,0.009204317,0.120193431,0.049712657,0.009718264,1.17E-05,0,0.017929729,0,0.002639817,0.00057235,0.004193337,0.003177125,0.000677475,0,0.000747559,2.34E-05,0.003025277,0,9.34E-05,0,0,0,0.001997384,0,0,0,0,0,0,0,0,0,1.17E-05,0.000175209,0,0,4.67E-05,0,0,0.083703219,0.616887819,0,0,0,2.34E-05,0,0.001600243,0.000689156,0,3.50E-05,0,0.037880204,0.029166472,0,0,1.17E-05,0,0,0,0,0,0
0.036107679,0,0,0,0.032387813,0.245563764,0.125555351,0.004666264,2.63E-05,0,0.014708589,0,0.003838166,0.000683509,0.001800783,0.010489235,0.000170877,0,0.000223455,0,0.001288152,0,9.20E-05,0,0,0,0.001629906,0,1.31E-05,0,0,0,0,0,0,1.31E-05,0,2.63E-05,0,0,0,1.31E-05,0,0.117865874,0.264412839,0,0,0,1.31E-05,0,0.004600542,0.001156708,0,5.26E-05,0,0.054273246,0.078327506,0,0,0,0,0,0,0,0,0
0.017600426,0,0,0,0.017707015,0.312557458,0.109146626,0.010299114,1.33E-05,0,0.029591633,0,0.00250483,0.000359736,0.000959297,0.006741723,0.000506295,2.66E-05,0.001598828,0.000106589,0.003757245,0,0.000133236,0,0,0,0.001612151,0,1.33E-05,0,0,0,0,0,0,0,1.33E-05,7.99E-05,0,6.66E-05,4.00E-05,0,0,0.101871961,0.235400706,0,0,0,0,0,0.002891213,0.000945973,0,0,0,0.088188662,0.055252815,0,0,1.33E-05,0,0,0,0,0,0
0.010907105,0,0,1.61E-05,0.003108284,0.168538062,0.149599216,0.006385234,0.000192762,5.62E-05,0.0361589,0,0.003582157,0.000257016,0.012762437,0.004851172,0.000746952,4.82E-05,0.000955777,0.000240952,0.002730792,0,0.000144571,8.03E-06,0,0,0.00341349,0,0,0,0,0,0,0,8.03E-06,0,8.83E-05,0.000224889,0,4.82E-05,1.61E-05,1.61E-05,0,0.167991904,0.283697171,0,0,0,8.03E-06,0,0.003196633,0.000626476,0,3.21E-05,0,0.109456572,0.029845951,0,2.41E-05,1.61E-05,0,0,0,0,0,0
